DATA INVENTARIS BARANG SMK MUHAMMADIYAH 12 - TAHUN 2025,,,,,,,,,,,
NO,NAMA BARANG,MERK,KODE BARANG,TAHUN PENGADAAN,"FREKUENSI PEMAKAIAN
(1-5)","UMUR BARANG
(Tahun)","KONDISI FISIK
(1-5)","KELENGKAPAN
(1-5)",LABEL KONDISI,KETERANGAN,KATEGORI
203,KABEL POWER MIKROTIK,—,USKMAKP0152023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
204,KABEL POWER MIKROTIK,—,USKMAKPMK0162023,2024,3,4,2,2,KURANG LAYAK,—,Perangkat Jaringan
205,KABEL POWER MIKROTIK,—,—,—,—,—,—,—,TIDAK DIKETAHUI,Belum didata,Perangkat Jaringan
206,KABEL POWER MIKROTIK,—,—,—,—,—,—,—,TIDAK DIKETAHUI,Belum didata,Perangkat Jaringan
207,KABEL POWER MIKROTIK,—,—,—,—,—,—,—,TIDAK DIKETAHUI,Belum didata,Perangkat Jaringan
208,KABEL POWER MIKROTIK,—,—,—,—,—,—,—,TIDAK DIKETAHUI,Belum didata,Perangkat Jaringan
209,KABEL POWER LAPTOP DELL,Dell,PRKKPKLP0012023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
210,KABEL POWER LAPTOP DELL,Dell,PRKKPKLP0022023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
211,KABEL POWER LAPTOP DELL,Dell,PRKKPKLP0032023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
212,KABEL POWER LAPTOP DELL,Dell,PRKKPKLP0042023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
213,KABEL POWER LAPTOP DELL,Dell,PRKKPKLP0052023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
214,KABEL POWER LAPTOP DELL,Dell,PRKKPKLP0062023,—,—,—,—,—,TIDAK DIKETAHUI,Belum didata,Perangkat Jaringan
215,KABEL POWER LAPTOP DELL,Dell,PRKKPKLP0072023,—,—,—,—,—,TIDAK DIKETAHUI,Belum didata,Perangkat Jaringan
216,KABEL POWER LAPTOP DELL,Dell,PRKKPKLP00112023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
217,KABEL POWER AP,—,USKMAKP0022023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
